Source,Citation,Quote,Comment
Nichiren,Treatise on All Phenomena as Ultimate Reality (Shohō Jissō-Shō),"I, Nichiren, am the lone forerunner of the bodhisattvas who emerged from the earth. I may even be one of them. If I am counted as one of the bodhisattvas who emerged from the earth, my disciples and followers too are among the ranks of those bodhisattvas from the earth, are they not? The “Teacher of the Dharma” chapter states, “If someone expounds even a phrase of the Lotus Sūtra even to one person in secret, then you should know that such a person is my messenger, dispatched by Me and carries out My work.” This refers to none other than us.","Nichiren wrote this passage as part of his Treatise on All Phenomena as Ultimate Reality (Shohō Jissō-Shō), sent to the monk Sairen-Bō. He refers to Chapters Ten and Fifteen of the Lotus Sūtra. This passage reminds us of our position as followers of Nichiren, and fellow messengers of Śākyamuni Buddha."
Lotus Sutra,Chapter 5,"I see all living beings equally. I have no partiality for them. There is not ‘this one’ or ‘that one’ to me. I transcend love and hatred.","The Buddha makes this declaration in Chapter Five of the Lotus Sūtra. He compares himself to a rain shower that waters all plants equally. He uses this example to show us how we should approach all living beings. Our respect for them and wish that they become enlightened cannot depend on whatever personal feelings we have towards them. 
"
Lotus Sutra,Chapter 14,"He should not have fruitless disputes or quarrels about the teachings with others. He should have great compassion towards all living beings. He should look upon all the Tathāgatas as his loving fathers, and upon all the Bodhisattvas as his great teachers. He should bow to all the great Bodhisattvas of the worlds of the ten quarters respectfully and from the bottom of his heart. He should expound the Dharma to all living beings without partiality. He should be obedient to the Dharma. He should not add anything to the Dharma or take away anything from the Dharma.","The Buddha declares this passage in Chapter Fourteen of the Lotus Sūtra. In an earlier teaching, the Buddha proclaimed, “I do not quarrel with the world. The world quarrels with me.” The Buddha does not need to prove anything to anyone. He realized the truth and teaches it out of his compassion for all beings. He understood that when people reacted poorly to his teaching and began to argue with him or chastise him, it was due to the illusions they had not yet eliminated. This chapter of the sūtra instructs us to keep the same mind when we spread the Dharma. We teach from our compassion and respect."
Lotus Sutra,Chapter 12,"I collected firewood and the fruits of trees and grasses, And offered these things to him respectfully from time to time. I never felt tired in body and mind Because I was thinking of the Wonderful Dharma.","The Buddha teaches these verses in Chapter Twelve of the Lotus Sūtra. They are part of a story of one of his previous lives. He was a king who gave up his throne to search for someone to teach him. When he found a seer who knew the Wonderful Dharma, he became the servant of the seer and served him with enthusiasm. These verses remind us of the enthusiasm that comes from hearing the Buddha’s teachings."
Lotus Sutra,Chapter 16,"To those who have accumulated merits, And who are gentle and upright, And who see me living here, Expounding the Dharma, I say: “The duration of my life is immeasurable.”","The Buddha declares these verses in Chapter Sixteen of the Lotus Sūtra. This chapter is where the Buddha reveals for the first time his ever-present nature. He became enlightened in the remotest past, and will continue teaching all beings far into the future. There is a view that to see a Buddha in our time requires a supernatural way of seeing, even a personal vision or a revelation not available to ordinary people. What the Buddha teaches here is that he is always visible to anyone, anywhere. It is when we look for him to teach us and are compassionate and disciplined in our desires that he appears to us."
Lotus Sutra,Chapter 4,"Although we were your sons then as we are now, we wished to hear only the teachings of the Lesser Vehicle. If we had aspired for the teaching of the Great Vehicle, you would have already expounded it to us.","Subhūti, Mahā-Kātyāyana, Mahā-Kāśyapa, and Mahā-Maudgalyāyana speak this passage in Chapter Four of the Lotus Sūtra. This is before they tell the story of the Wayward Son. They explain their realization that the Buddha holds nothing back from us. The reason we hear expedient teachings rather than the highest teaching is because of the limits of our own aspiration. When we aspire to become Buddhas, we receive the highest teaching."
Nichiren,Letter to Lord Matsuno,"There are thousands of fish eggs, but few become fish. Hundreds of mango blossoms bloom, but few become fruit. It is the same with human beings, because most people are turned aside by evil distractions. There is an army of warriors wearing armor, but few are able to fight bravely. Many people search for truth, but few attain Buddhahood.","Nichiren wrote this passage in his Letter to Lord Matsuno. In Nichiren’s lifetime he saw many of his followers charmed by his teaching, but lacking the resolve to practice. This letter was one of many Nichiren used to encourage us not to waste our precious human life with frivolous pursuits, destructive actions, and selfish desires. It reminds us that we all carry the seed of Buddha nature, and to look for ways to nourish that seed."
Lotus Sutra,Chapter 5,"As the destroyer of the bonds of existence, I, the King of the Dharma, have appeared in this world. Since then I have expounded the Dharma variously According to the desires of all living beings.","The Buddha proclaims these verses in Chapter Five of the Lotus Sūtra. This is another explanation for why he uses expedients to teach those who are not ready for his highest teaching. When we set aside the cravings that lead to suffering, and cultivate our desire for enlightenment, both for ourselves and all beings, then we are ready to receive the Buddha’s highest teaching."
Lotus Sutra,Chapter 17,"He was patient, gentle,  And friendly with others.  Even when many evils troubled him,  His mind was not moved.","The Buddha sings these verses in Chapter Seventeen of the Lotus Sūtra. This stanza is his description of the Bodhisattva perfection of patience. As with all the perfections, these are qualities we cultivate, rather than something to use to judge how close we or anybody else is to enlightenment. As we progress in these perfections, our view of the world is less obscured by our own mental formations. We begin to see the world for what it is, and each other for what we are."
Lotus Sutra,Chapter 11,"Those Buddhas came under the jeweled trees.  The trees are adorned with those Buddhas Just as a pond of pure water is adorned  With lotus flowers.","In these verses from Chapter Eleven of the Lotus Sūtra, the Buddha describes the scene after he calls the Buddhas of his replicas from innumerable worlds to join him and open the treasure tower of Many-Treasures Buddha. By comparing how a pond is made beautiful by flowers growing in it to how the world is made beautiful with Buddhas in it, the Buddha shows us that wherever we see beauty, we see the Buddha."
Lotus Sutra,Chapter 27,"To see a Buddha is as difficult  As to see an udumbara[-flower].  To avert a misfortune is also difficult. ","These verses are sung by two sons of a king in a story told by the Buddha in Chapter Twenty-Seven of the Lotus Sūtra. In the story, the boys have heard the Dharma from a previous Buddha and are asking permission from their parents to leave home and follow that Buddha. The legend of the udumbara flower is that it only blooms every 3000 years. Meeting a Buddha is not to be taken for granted. However, it is still important to remember the ties of our families. Rather than leaving in secret from their home, the sons’ asking permission from their parents creates more benefits. The King and Queen accompany their sons and learn the Wonderful Dharma. As Bodhisattvas it is important to use our relationships wisely as we lead all beings to enlightenment."
Lotus Sutra,Chapter 8,"He satisfied himself with what little he earned. He did not wish to get anything more. He did not notice the priceless gem Fastened inside his garment.","These verses are part of a story told by Ājñāta-Kauṇḍinya and other disciples in Chapter Eight of the Lotus Sūtra. It is about a man whose friend gives him a jewel while he is asleep. Not realizing he has this treasure, the man returns to his ordinary life, desperate to make a living and satisfy his ordinary desires. The story shows how we live when we forget about the jewel of Buddha nature we carry with us."
Nichiren,Treatise on Chanting the Great Title of the Lotus Sūtra (Shō Hokke Daimoku-shō),"You should remember that the secret doctrine to save the evil, the stupid, women, and those without Buddha-nature is not revealed in sūtras other than the Lotus Sūtra. This is the very reason the Lotus Sūtra is superior to all other Buddhist scriptures.","Nichiren wrote this passage in his Treatise on Chanting the Great Title of the Lotus Sūtra (Shō Hokke Daimoku-shō). With so many proclaiming that their teaching is superior, it can be difficult to hear what Nichiren is telling us in this passage. Other teachings maintain that only some people can be saved. As a result, people who hear those teachings live in fear and uncertainty about their fate. The Lotus Sūtra proclaims that all who hear it will become enlightened, and that all who teach the Lotus Sūtra will create the conditions for others to be enlightened. Nichiren’s relentless determination to spread the Wonderful Dharma was not based on arrogance: merely wanting people to do as he said. It was based on compassion: the certainty that the Lotus Sūtra embodies the enlightenment of the Buddha and saves all beings."
Lotus Sutra,Chapter 16,"Thereupon Śākyamuni Buddha praised Medicine-King Bodhisattva, saying:
“Excellent, excellent, Medicine-King! You uttered these dhāraṇīs in order to protect this teacher of the Dharma out of your compassion towards him. You will be able to give many benefits to all living beings.”","The Buddha makes this declaration to Medicine-King Bodhisattva in Chapter Twenty-Six of the Lotus Sūtra. The dhāraṇīs are promises made in a language that only Medicine-King and other protective beings understand. When we recite these promises from the Lotus Sūtra, we remind those beings of their vows. We also awaken our natures to protect all beings, and create benefits both for those beings and ourselves."
Lotus Sutra,Chapter 28,"Universal-Sage! Anyone who keeps, reads and recites this Sūtra of the Lotus Flower of the Wonderful Dharma, memorizes it correctly, studies it, practices it, and copies it, should be considered to see me, and hear this sūtra from my mouth. He should be considered to be making offerings to me. He should be considered to be praised by me with the word ‘Excellent!’","Universal-Sage Bodhisattva (Fugen, Samantabhadra) makes this declaration to the Buddha in Chapter Twenty-Eight of the Lotus Sutra. He reminds us that when we study and practice the Lotus Sūtra, we see not only the Buddha, but all beings who have vowed to protect and encourage us in our practice. It is often difficult to see these beings and appreciate what they are doing for us, much more so to hear the encouragement they offer us in this world of conflict. This is why we must continue to dedicate our lives to offer benefit and encouragement to all beings, so that we can embody the spirit of these protective deities."
Lotus Sutra,Chapter 11,"Anyone who protects this sūtra Should be considered To have already made offerings To Many-Treasures and to me.","The Buddha makes this declaration to all those assembled to hear him teach the Dharma in Chapter Eleven of the Lotus Sūtra. In the story, Many-Treasures Buddha has just appeared to confirm the truth of the sūtra, and the Buddha has asked who will protect and preserve this sūtra after his extinction. By considering anyone who defends the meaning of the Lotus Sūtra to be one who has been personally present before these Buddhas, the Buddha invites us to consider not just our previous lives, but our current lives. We repay these Buddhas for this wonderful teaching by bringing it to life ourselves. As Nichiren wrote, “even if only a word or phrase, spread it to others.”"
Lotus Sutra,Chapter 10,"Anyone who keeps The Sūtra of the Lotus Flower of the Wonderful Dharma Should be considered to have given up his pure world and come here Out of his compassion towards all living beings.","The Buddha declares these verses to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. He reminds us that as Bodhisattvas, we are no longer concerned with getting into a paradise where all our desires are met. This also means that we were not sent into this world of conflict (Sahā) so that we could be tested to see whether we are worthy of getting into that paradise. Instead, we are Bodhisattvas, beings who through our great resolve to benefit all beings, have with great courage chosen to immerse ourselves in the misery of this world, because we know there is no other way to create benefit and lead all beings to the Buddha’s enlightenment."
Lotus Sutra,Chapter 14,"The Bodhisattva-mahāsattva also should know the following truth. All things are insubstantial. They are as they are. Things are not perverted. They do not move. They do not go. They do not turn. They have nothing substantial just as the sky has not. They are inexplicable. They are not born. They do not appear. They do not rise. They are nameless. They are formless. They have no property. They are immeasurable and limitless. They have no obstacle or hindrance. He should see all this. Things can exist only by dependent origination. Only perverted people say, ‘Things are permanent and pleasant.’ This truth is the second thing he should approach.","The Buddha gives this explanation to Mañjuśrī in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. The Buddha does not see the world as we do. This section explains how changing our view changes the world. When we no longer see beings with power to overwhelm us, and see beings in whom delusions have been created, we see our abilities to cut the root of those delusions and benefit them. These passages are what make the Lotus Sutra difficult to believe and understand, since they go against our habits of manipulating the world to become happy. As we learn to work with our minds, then we truly change the world."
Nichiren,Spiritual Contemplation and the Most Venerable (Kanjin Honzon-Shō),"When the sky is blue, the land is bright. In this way those who know the Lotus Sutra can see the reasons for occurrences in the world. For those who are incapable of understanding the truth of the “3000 existences contained in one thought,” Lord Śākyamuni Buddha with his great compassion, wraps this jewel with the five characters of myō, hō, ren, ge and kyō and hangs it around the neck of the ignorant in the Latter Age of Degeneration. The four great Bodhisattvas will protect such people, just as the Duke of Chou assisted the young ruler, King Chen, or the Four Elders attended the child Emperor Hui.","Nichiren wrote this in his treatise on Spiritual Contemplation and the Most Venerable (Kanjin Honzon-Shō). This reminds us that whether or not we are able to make sense of the Buddha’s most difficult teaching, what is important is to rely on his determination to help us become enlightened. It is in our practice of reciting the sacred title: “Namu Myoho Renge Kyo,” that we express all the teachings of the Buddha and help all beings become enlightened."
Lotus Sutra,Chapter 14,"Anyone who wishes to expound this sūtra Should give up jealousy, anger, arrogance, Flattery, deception and dishonesty. He should always be upright.","The Buddha sings these verses to Mañjuśrī in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. The way we live our lives can either reinforce our delusions or help us gain more clarity about how things really are. In these verses, the Buddha advises against these actions not because he will think less of us when we do them, but because when we find ourselves behaving these ways it is because we are not seeing things for what they are."
Lotus Sutra,Chapter 9,"You, the World-Honored One, are the light of wisdom. Hearing from you That we are assured of our future Buddhahood, We are as joyful as if we were sprinkled with nectar.","These verses are sung by two thousand of the Buddha’s disciples in Chapter Nine of the Lotus Sūtra. When these followers of the Buddha were told that they would become as enlightened as he was, then many others like them realized that they too had this capacity. The superiority of the Lotus Sūtra lies not in having better explanations of what the Buddha taught, or in some supernatural ability it has to change the world. The superiority of the Lotus Sūtra is its completeness. It leads all beings to the joy of enlightenment."
Lotus Sutra,Chapter 8,"World-Honored One! Now we see that we are Bodhisattvas in reality, and that we are assured of our future attainment of Anuttara-samyak-saṃbodhi. Therefore, we have the greatest joy that we have ever had.","Ājñāta-Kauṇḍinya and the others gathered to hear the Buddha teach make this declaration in Chapter Eight of the Lotus Sūtra. He and the others thought that their existence was merely to hear and preserve what the Buddha taught them, and to transmit it to others. They believed they were incapable of becoming as enlightened as the Buddha, because the Buddha’s earlier teachings had only led them so far. With the Lotus Sutra, the Buddha reminds all of us of our decision to come to this world of conflict to benefit all beings. He awakens us to our capacity to see the world with his eyes and experience the joy of reality."
Lotus Sutra,Chapter 3,"Those who seek the enlightenment of the Buddha Are as various as previously stated. A kalpa will not be long enough To describe the variety of them.",The Buddha speaks these verses in Chapter Three of the Lotus Sūtra. We may believe that only some kinds of people will hear the teaching of the Buddha. In this passage the Buddha reminds us that we cannot predict who will be able to join us in our practice and who will not. This is why it is so important to maintain our vow as Bodhisattvas to benefit all beings.
Lotus Sutra,Chapter 10,"These men and women are great Bodhisattvas. They should be considered to have appeared in this world by their vow to expound the Sūtra of the Lotus Flower of the Wonderful Dharma out of their compassion towards all living beings, although they already attained Anuttara-samyak-saṃbodhi [in their previous existence].","The Buddha declares these lines to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. In the teachings of Nirvāṇa, the goal is to remove suffering so that we can be reborn in a peaceful realm. In this Sūtra, the Buddha reminds us that we who keep this Sūtra have given up the privilege of higher realms so that we can benefit beings where we find ourselves now. We do not fear rebirth in lower realms since our compassion takes us even there so we can benefit beings in those realms."
Lotus Sutra,Chapter 4,"The rich man thought: “He is ignorant, narrow-minded, and mean. If I tell him that I am his father, He will not believe me.”","These verses are part of the story of the Wayward Son told by Subhūti, Mahā-Kātyāyana, Mahā-Kāśyapa, and Mahā-Maudgalyāyana in Chapter Four of the Lotus Sūtra. The son in the story has forgotten who his father is. The father cannot just bring him into his inheritance while the son is still attached to his lowly life. The story explains the disciples’ understanding of why the Buddha cannot give his highest teaching without expedients."
Lotus Sutra,Chapter 7,"The Buddhas expound the teaching of the Three Vehicles Only as an expedient. There is only the One Buddha-Vehicle. The two [vehicles] were taught only as resting places.","The Buddha declares these verses in Chapter Seven of the Lotus Sūtra after telling the parable of the Magic City. The parable is his explanation of why expedient teachings are necessary, and why we must eventually set them aside to attain the enlightenment that is our true nature."
Lotus Sutra,Chapter 10,I have expounded many sūtras. I am now expounding this sūtra. I also will expound many sūtras in the future. The total number of the sūtras will amount to many thousands of billions. This Sūtra of the Lotus Flower of the Wonderful Dharma is the most difficult to believe and the most difficult to understand.,"The Buddha declares these lines to Medicine-King Bodhisattva in Chapter Ten of the Lotus Sūtra. At the beginning of this Sūtra, the Buddha held back from teaching because he thought people might not be ready to hear it. He also said that the Dharma he teaches cannot be understood by reasoning. We need both faith and understanding to practice the Wonderful Dharma. The Buddha also reminds us to appreciate how difficult faith and understanding are, both for ourselves and others."
Lotus Sutra,Chapter 23,Thereupon Star-King-Flower Bodhisattva said to the Buddha: “World-Honored One! Why does Medicine-King Bodhisattva walk about this Sahā-World? World-Honored One! This Medicine-King Bodhisattva will have to practice hundreds of thousands of billions of nayutas of austerities in this world.,"This excerpt is from Chapter Twenty-Three of the Lotus Sutra. Star-King-Flower Bodhisattva is aware of the difficulties that Medicine-King or any other Bodhisattva will encounter while living in this world of conflict (Sahā) and asks the Buddha why this Bodhisattva would give up the pleasures of the higher realms to which he is entitled. The Buddha then tells the story of Medicine-King’s previous life, in which he gave up many attachments, including the attachment to his own body. These stories of Bodhisattvas are reminders of our own capacities, and that no matter what difficulties we face in our lives, our determination to benefit all beings, our certainty of enlightenment, and the help we receive from other beings will lead us to overcome any problems."
Lotus Sutra,Chapter 15,"Arouse your power of faith, And do good patiently! You will be able to hear the Dharma That you have never heard before.","The Buddha sings these verses in Chapter Fifteen of the Lotus Sūtra. These are another emphasis of the superiority of those who put the Buddha’s teachings into practice rather than those who merely hear and understand them. It is only when we are engaged in creating benefit in the world, in helping all beings to become enlightened, that we are able to hear the Buddha’s highest teaching, the teaching of his own enlightenment."
Lotus Sutra,Chapter 20,"Why was this bhikṣu called Never-Despising? It was because, every time he saw bhikṣus, bhikṣuṇis, upāsakas or upāsikās, he bowed to them and praised them, saying, 'I respect you deeply. I do not despise you. Why is that? It is because you will be able to practice the Way of Bodhisattvas and become Buddhas.’","The Buddha gives this description of Never-Despising Bodhisattva in Chapter Twenty of the Lotus Sūtra. The only practice of this Bodhisattva was to show his respect to all people, whether or not they respected him. This practice was so important, the Buddha used it as an example of what he practiced in a previous life to enable him to become enlightened."
Nichiren,Treatise on Prayers (Kitō-shō),"If his writings are against the teachings of the Buddha, no matter how hard one might believe them, one will never attain Buddhahood. No matter how much one prays for peace and tranquility for the country, only deplorable events will take place.","Nichiren wrote this passage in his Treatise on Prayers (Kitō-shō), commenting on the writings of a priest who did not hold the Lotus Sutra as the Buddha’s highest teaching. Because the Lotus Sutra assures the enlightenment of all beings who teach and practice the Wonderful Dharma, it is what brings peace and tranquility to the world."
Lotus Sutra,Chapter 25,"Thereupon the Buddha said to World-Voice-Perceiver Bodhisattva:  “Receive it out of your compassion towards this Endless-Intent Bodhisattva, towards the four kinds of devotees, and towards the other living beings including gods, dragons, yakṣas, gandharvas, asuras, garuḍas, kiṃnaras, mahoragas, human and nonhuman beings!”","In Chapter Twenty-Five of the Lotus Sūtra, Endless-Intent Bodhisattva offers a necklace of gems with inestimable value to World-Voice-Perceiver Bodhisattva. At first World-Voice-Perceiver refuses to take it, and only accepts it when the Buddha asks him to receive it for the benefit of all beings. This reminds us that when we cultivate a mind of compassion, anything we receive is not meant to be held for our personal benefit. It is meant to be transformed into something beneficial for all beings."
Lotus Sutra,Chapter 13,"World-Honored One, do not worry! We will keep, read, recite and expound this sūtra after your extinction. The living beings in the evil world after [your extinction] will have less roots of good, more arrogance, more greed for offerings of worldly things, and more roots of evil. It will be difficult to teach them because they will go away from emancipation. But we will patiently read, recite, keep, expound and copy this sūtra, and make various offerings to it. We will not spare even our lives [in doing all this].","Medicine-King Bodhisattva, his attendants and other Bodhisattvas make this vow to the Buddha in Chapter Thirteen of the Lotus Sūtra. Once we awaken to our Bodhisattva nature and resolve to benefit all beings, we may still hold on to the belief that those beings should gratefully receive the teaching and and keep progressing towards enlightenment. We may even become discouraged in our practice of the Wonderful Dharma when these beings do not live up to our expectations. The vow of these great Bodhisattvas reminds us of how difficult is is for us ordinary beings to keep the Lotus Sūtra, and of the determination it takes to create benefit in the world."
Lotus Sutra,Chapter 6,"We know the defects of the Lesser Vehicle. But we do not know how to obtain The unsurpassed wisdom of the Buddha.","The Buddha’s disciples Maudgalyāyana, Subhūti and Mahā-Kātyāyana sing these verses in Chapter Six of the Lotus Sūtra. They have heard the Buddha teach that the expedient teachings about Suffering are incomplete. However they still have not yet embraced the One Vehicle teaching of the Lotus Sūtra which leads all beings to enlightenment. Nichiren explained, in his Treatise on Opening the Eyes of Buddhist Images, how teachings that came before the Lotus Sūtra were based on the mind of the hearer, where the Wonderful Dharma is itself the mind of the Buddha. When we read, recite, copy and expound the Lotus Sūtra, we are becoming of one mind with the Buddha."
Lotus Sutra,Chapter 19,"He will be able to recognize  All the sounds and voices  Inside and outside the one thousand million Sumeru-worlds,  [Each being composed of the six regions]  Down to the Avīci Hell and up to the Highest Heaven.  And yet his organ of hearing will not be destroyed.  He will be able to recognize everything by hearing  Because his ears are sharp.","The Buddha sings these verses in Chapter Nineteen of the Lotus Sūtra about those who practice the Buddha Dharma. We may believe that a spiritual practice leads us to “otherworldly” experiences that allow us to escape the problems we find in the world around us. These verses remind us that the teachers of the Dharma become more engaged with the world around us rather than becoming separate from it. It is through our right practice of the Lotus Sūtra that we become aware of the world as it is, and our place in making it better.
"
Lotus Sutra,Chapter 17,"Ajita! Anyone who hears that my life is so long, and understands it by faith even at a moment’s thought, will be able to obtain innumerable merits.","The Buddha makes this declaration to his disciple Maitreya, also known as Invinciple (Ajita) in Chapter Seventeen of the Lotus Sutra. In the previous chapter, the Buddha revealed for the first time that his impending death was merely an expedient, intended to reach those who would take him for granted if they thought they could see him at any time. The Buddha explained that this is the teaching that is most difficult to believe and difficult to understand. Namely that he is always present, leading us and all beings to enlightenment."
Lotus Sutra,Chapter 10,"The good men or women who keep, read, recite, expound and copy even a phrase of the Sūtra of the Lotus Flower of the Wonderful Dharma, and offer flowers, incense, necklaces, incense powder, incense applicable to the skin, incense to burn, canopies, banners, streamers, garments and music to a copy of this sūtra, or just join their hands together respectfully towards it, should be respected by all the people of the world.","The Buddha declares these lines to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. The notion of respect appears in many parts of this Sūtra. These lines tell us that we should be respected by people of the world, even though sometimes we are not. It is more important for us to respect each other, and everyone who practices the Wonderful Dharma in any way. It is also important that we respect ourselves, knowing that we are working for the benefit of all beings."
Lotus Sutra,Chapter 16,"The children who had not lost their right minds saw that this good medicine had a good color and smell, took it at once, and were cured completely. But the children who had already lost their right minds did not consent to take the medicine given to them, although they rejoiced at seeing their father come home and asked him to cure them, because they were so perverted that they did not believe that this medicine having a good color and smell had a good taste.","In Chapter Sixteen of the Lotus Sūtra, the Buddha tells a parable of a wise physician who prepares medicine for his children who have accidentally poisoned themselves. He compares the children to us whose minds are poisoned by the delusions of greed, anger and ignorance. He also compares himself to the wise father and the medicine to the Lotus Sūtra that he has left for us. Until the children took the medicine and tasted it for themselves, they could not be cured of the poison. Until we make this practice of the Wonderful Dharma an active part of our lives, we cannot be cured of our delusions."
Lotus Sutra,Chapter 17,"Furthermore, the good men or women who do not speak ill of this sūtra but rejoice at hearing it after my extinction, should be considered, know this, to have already understood my longevity by firm faith.","The Buddha makes this declaration to his disciple Maitreya in Chapter Seventeen of the Lotus Sūtra. After learning the merits of understanding the ever-present nature of the Buddha, Maitreya hears that this understanding is present in anyone who finds joy in this sūtra. From the parables told earlier in the sūtra, we know that this joy is not the same as the joy that comes from ending suffering. It is the joy in our awakening Buddha nature."
Lotus Sutra,Chapter 28,"Anyone who keeps, reads and recites this sūtra, memorizes it correctly, understands the meanings of it, and acts according to it, know this, does the same practices that I do. He should be considered to have already planted deeply the roots of good under innumerable Buddhas [in his previous existence].","The Buddha declares this to Universal-Sage Bodhisattva in Chapter Twenty-Eight of the Lotus Sūtra. In his expedient teachings, the Buddha taught according to the minds of those he was trying to reach. In the Lotus Sūtra, the Buddha brings us into his mind, and has us practice as he does rather than merely preparing for enlightenment. When we practice the Lotus Sūtra as it instructs, we can consider that we have already made the necessary preparations and are now ready to become Buddhas."
Lotus Sutra,Chapter 2,"The Buddhas, the Tathāgatas, teach only Bodhisattvas. All they do is for one purpose, that is, to show the insight of the Buddha to all living beings, to cause them to obtain the insight of the Buddha.","The Buddha speaks these words in Chapter Two of the Lotus Sutra. Here he emphasizes the importance of practice for reaching enlightenment. We may think that just hearing what the Buddha teaches is enough to reach his insight of seeing things for what they are. We also need to be actively engaged with the world, doing our best, making mistakes, and confident that we can continue to learn how to make things better. This is no different from the mistaken belief that one can learn how to cook by merely reading recipes. Only by going in the kitchen and making something can one gain the insight of whoever came up with the recipe."
Lotus Sutra,Chapter 28,"Therefore, anyone who has wisdom should copy this sūtra with all his heart, cause others to copy it, and also keep, read and recite it, memorize it correctly, and act according to it.","The Buddha declares this to Universal-Sage Bodhisattva in Chapter Twenty-Eight of the Lotus Sūtra. It is important to remember that early in the sūtra, the Buddha explained that he teaches only Bodhisattvas, beings who exist for the benefit of all beings. Our practice of the Lotus Sūtra is not just for ourselves. When we use it to lead others to enlightenment, we create the cause for our own enlightenment."
Lotus Sutra,Chapter 16,"Having thought this, he said to his children as he had thought, ‘Come out quickly!’ He warned them with these good words out of his compassion towards them, but they were too much engrossed in playing to hear the words of their father. They were not frightened or afraid. They did not wish to come out. They did not know what a fire was, what a house was, and what they would lose. They ran about happily. They only glanced at their father occasionally.","This passage is part of the Parable of the Burning House, told by the Buddha in Chapter Three of the Lotus Sūtra. In this story, he compares us living in this world of conflict to children playing in a dangerous house. As the children in the story were too distracted by their games to hear their father’s warnings, we are often too distracted by the attachments of our world to hear the voice of the Buddha."
Lotus Sutra,Chapter 10,Medicine-King! An evil man who speaks ill of me in my presence with evil intent for as long as a kalpa is not as sinful as the person who reproaches laymen or monks with even a single word of abuse for their reading and reciting the Sūtra of the Lotus Flower of the Wonderful Dharma. ,"The Buddha declares this sentence in Chapter Ten of the Lotus Sūtra. Since the Buddha is secure in the enlightenment he enjoys, anyone attacking him either questioning his enlightenment or disparaging his wisdom is only going to make themselves look bad. Attacking someone just starting on the path towards enlightenment could lead them to doubt the value of the Wonderful Dharma. It is beneficial to remember these words, not just for what they mean about how we treat others, but for how we treat ourselves."
Lotus Sutra,Chapter 7,"I knew that you were mean and timid. In order to give you a rest halfway, I expounded expediently to you the teaching of Nirvāṇa by the two vehicles. To those who attained the two [vehicles], I say, ‘You have not yet done all that you should do. You are near the wisdom of the Buddha. Think it over and consider it! The Nirvāṇa you attained is not true. I divided the One Vehicle of the Buddha into three only expediently.","The Buddha gives this explanation in Chapter Seven of the Lotus Sūtra after he tells the parable of the magic city. In that parable he compares himself, leading all beings to enlightenment, to a guide leading a group of travelers through a dangerous wilderness. The Buddha knows how frightening this world of conflict can be, so he uses teachings about ending suffering to keep us moving on the path. But then as the guide in the parable made the magic city disappear so that the travelers would continue to the real city, the Buddha tells us to abandon preoccupations with our own suffering so that we can enjoy his enlightenment."
Lotus Sutra,Chapter 10,"If after my extinction anyone rejoices, even on a moment’s thought, at hearing even a gāthā or a phrase of the Sūtra of the Lotus Flower of the Wonderful Dharma, I also will assure him of his future attainment of Anuttara-samyak-saṃbodhi.","The Buddha declares these lines to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. Other teachings had described beings becoming enlightened after making exorbitant offerings or strenuous practices over many lifetimes. In the teaching of the Wonderful Dharma, a single moment of joy at hearing the Dharma is enough to assure us that we will become enlightened."
Nichiren,Treatise on All Phenomena as Ultimate Reality (Shohō Jissō-Shō),"Have faith in the Great Mandala Gohonzon, the Most Venerable One in the entire world. Earnestly endeavor to strengthen your faith, so that you may be blessed with the protective powers of Śākyamuni Buddha, the Buddha of many treasures, and Buddhas in manifestation throughout the Universe. Strive to carry out the two ways of practice and learning. Without practice and learning Buddhism will cease to exist. Endeavor yourself and cause others to take up these two ways of practice and learning, which stem from faith. If possible, please spread even a word or phrase of the sutra to others.","Nichiren wrote this as part of his letter to monk Sairen-bō about the nature of reality (Shohō-Jissō Shō). One way of reading this passage is that as we develop our faith in the Great Mandala Gohonzon, the Buddhas will provide more protection for us. Another way to read it is that as our faith develops, so does the power we have to protect others, free them from suffering and help them to awaken their Buddha nature. Either way, Nichiren shows us the practical results of our faith."
Lotus Sutra,Chapter 27,"Thereupon Cloud-Thunderpeal-Star-King-Flower-Wisdom Buddha said to King Wonderful-Adornment, ‘So it is, so it is. It is just as you say. The good men or women who plant the roots of good will obtain teachers in their successive lives. The teachers will do the work of the Buddha, show the Way [to them], teach them, benefit them, cause them to rejoice, and cause them to enter into the Way to Anuttara-samyak-saṃbodhi (Perfect Enlightenment). Great King, know this! A teacher is a great cause [of your enlightenment] because he leads you, and causes you to see a Buddha and aspire for Anuttara-samyak-saṃbodhi.","These lines are part of a story told by the Buddha in Chapter Twenty-Seven of the Lotus Sūtra. The Buddha uses this story to remind us of how much benefit we get from our teachers. When we see the world with the eyes of the Buddha, and know that he is always thinking of how to lead us, we can find innumerable teachers, and know to show our gratitude to them."
